dateTime,numCharacters,numWords,avgCharsPerWord,numTenCharOrMoreWords,numComputerKeywords,numExclaimationPoints
2021-01-03T02:54:00.000Z,840,156,4.39,10,0,0
2022-04-20T04:00:00.000Z,4249,834,4.1,36,0,0
2018-09-11T21:38:00.000Z,1183,219,4.41,8,1,0
2018-09-13T04:07:00.000Z,4663,830,4.62,61,0,0
2018-09-15T20:45:00.000Z,2716,475,4.72,34,0,1
2018-09-16T04:19:00.000Z,1374,265,4.19,13,0,2
2018-09-17T15:44:00.000Z,4021,776,4.18,29,1,1
2018-09-20T01:08:00.000Z,4193,756,4.55,50,1,0
2018-09-22T19:28:00.000Z,1462,290,4.04,10,0,0
2018-09-25T21:34:00.000Z,9641,1829,4.27,68,3,5
2018-09-28T22:36:00.000Z,371,66,4.64,4,0,1
2018-10-01T18:11:00.000Z,1270,250,4.08,9,0,0
2018-10-03T17:11:00.000Z,3209,605,4.31,26,0,0
2018-10-04T19:09:00.000Z,772,143,4.41,7,1,0
2018-10-05T02:17:00.000Z,4825,922,4.23,45,0,0
2018-10-05T05:17:00.000Z,1684,317,4.32,15,0,0
2018-10-05T18:47:00.000Z,1532,303,4.06,7,0,0
2018-10-06T22:14:00.000Z,925,172,4.38,6,0,0
2018-10-07T21:08:00.000Z,384,74,4.2,1,0,0
2018-10-08T20:00:00.000Z,589,113,4.22,5,2,1
2018-10-14T16:46:00.000Z,7438,1398,4.32,48,0,0
2018-10-15T00:44:00.000Z,865,167,4.19,10,0,0
2018-10-15T23:58:00.000Z,907,183,3.96,2,0,0
2018-10-16T00:54:00.000Z,346,65,4.34,1,0,0
2018-10-22T06:01:00.000Z,2145,399,4.38,15,0,0
2018-10-22T23:09:00.000Z,2149,421,4.11,12,0,0
2018-10-22T23:09:00.000Z,1135,214,4.31,6,0,0
2018-10-23T03:12:00.000Z,1208,237,4.1,4,1,0
2018-10-22T22:46:00.000Z,216,40,4.42,1,0,0
2018-10-26T19:34:00.000Z,1911,358,4.34,15,0,0
2018-10-28T18:20:00.000Z,4834,920,4.26,42,0,0
2018-11-06T01:01:00.000Z,463,94,3.94,2,0,0
2018-11-12T22:15:00.000Z,770,146,4.28,9,0,0
2018-11-14T07:55:00.000Z,3018,566,4.33,36,0,1
2018-11-16T04:25:00.000Z,2211,431,4.13,28,0,0
2018-11-21T20:40:00.000Z,6520,1279,4.1,43,1,1
2018-12-29T23:31:00.000Z,861,172,4.01,3,0,0
2019-01-06T09:06:00.000Z,3015,576,4.24,17,0,0
2019-01-07T04:10:00.000Z,586,124,3.73,4,0,0
2019-01-08T06:00:00.000Z,58,12,3.92,0,0,0
2019-01-15T06:33:00.000Z,6103,1164,4.24,57,0,0
2019-01-27T07:35:00.000Z,5571,1034,4.39,57,1,0
2019-02-01T06:06:00.000Z,2981,566,4.27,26,0,0
2019-02-03T09:27:00.000Z,498,99,4.04,5,0,0
2019-02-04T14:14:00.000Z,13853,2631,4.27,108,0,0
2019-02-05T01:42:00.000Z,2688,513,4.24,18,2,0
2019-02-13T03:14:00.000Z,5321,969,4.49,53,6,2
2019-02-14T16:32:00.000Z,4948,894,4.54,54,2,0
2019-02-15T20:51:00.000Z,7362,1391,4.29,57,0,2
2019-02-16T19:27:00.000Z,799,158,4.06,5,2,0
2019-02-17T08:11:00.000Z,366,68,4.4,4,0,1
2019-02-18T19:52:00.000Z,6854,1297,4.29,45,0,0
2019-02-19T20:20:00.000Z,334,61,4.49,1,0,1
2019-02-22T05:06:00.000Z,9025,1693,4.33,82,0,0
2019-02-24T17:07:00.000Z,311,62,4.03,3,0,0
2019-02-24T17:27:00.000Z,4847,910,4.33,49,1,0
2019-02-25T06:44:00.000Z,2977,543,4.48,38,0,0
2019-02-27T05:27:00.000Z,2707,520,4.21,27,0,0
2019-02-28T21:52:00.000Z,1645,322,4.11,10,0,0
2019-03-03T07:58:00.000Z,2805,554,4.06,18,0,0
2019-03-05T04:39:00.000Z,3487,663,4.26,37,0,0
2019-03-09T06:15:00.000Z,3438,660,4.21,25,1,0
2019-03-10T07:36:00.000Z,4497,841,4.35,40,0,0
2019-03-12T22:16:00.000Z,5007,927,4.4,49,0,0
2019-03-14T05:00:00.000Z,4240,791,4.36,40,0,0
2019-03-03T22:34:00.000Z,5651,1093,4.17,38,0,0
2019-03-20T03:32:00.000Z,7939,1472,4.39,73,0,0
2019-03-20T14:37:00.000Z,4087,749,4.46,32,0,1
2019-03-21T18:14:00.000Z,1216,232,4.25,9,1,0
2019-03-22T00:27:00.000Z,2528,482,4.25,18,1,1
2019-03-25T03:43:00.000Z,1361,250,4.45,18,0,1
2019-03-26T15:17:00.000Z,493,96,4.15,3,0,0
2019-03-28T08:11:00.000Z,3441,656,4.25,24,1,2
2019-03-31T05:33:00.000Z,6008,1142,4.26,40,0,2
2019-04-01T18:27:00.000Z,2169,393,4.52,25,0,0
2019-04-03T18:11:00.000Z,5377,939,4.73,77,1,1
2019-04-03T23:51:00.000Z,3549,668,4.31,35,0,0
2019-04-04T00:39:00.000Z,237,46,4.17,3,0,0
2019-04-07T22:05:00.000Z,8262,1545,4.35,78,0,4
2019-04-09T15:13:00.000Z,5390,1001,4.39,45,1,0
2019-04-10T14:23:00.000Z,2201,428,4.14,18,1,0
2019-04-12T18:02:00.000Z,214,43,4,1,0,0
2019-04-13T20:56:00.000Z,2773,517,4.37,25,1,0
2019-04-17T05:37:00.000Z,3914,695,4.63,44,2,0
2019-04-18T23:52:00.000Z,2648,512,4.17,17,0,0
2019-04-20T01:33:00.000Z,1100,217,4.07,3,0,0
2019-04-22T18:34:00.000Z,5472,1070,4.11,36,0,0
2019-04-23T05:48:00.000Z,931,179,4.21,8,1,0
2019-04-23T20:04:00.000Z,1964,394,3.99,7,0,0
2019-04-25T04:20:00.000Z,6900,1312,4.26,62,0,0
2019-04-25T17:36:00.000Z,420,80,4.26,4,0,0
2019-04-30T20:45:00.000Z,264,56,3.73,1,0,0
2019-05-02T03:52:00.000Z,1359,268,4.07,10,0,1
2019-05-03T17:24:00.000Z,2588,494,4.24,20,0,1
2019-05-05T19:39:00.000Z,316,64,3.95,1,0,0
2019-05-09T04:55:00.000Z,7232,1346,4.37,62,0,0
2019-05-10T18:25:00.000Z,962,195,3.94,4,0,0
2019-05-12T18:48:00.000Z,1373,255,4.39,7,0,1
2019-05-30T00:10:00.000Z,3349,645,4.19,22,0,1
2019-05-30T00:38:00.000Z,718,135,4.33,4,0,0
2019-06-06T02:14:00.000Z,1212,235,4.16,8,0,0
2019-06-20T02:54:00.000Z,5149,948,4.43,60,0,0
2019-06-20T04:59:00.000Z,1241,225,4.52,10,0,0
2019-06-25T05:28:00.000Z,913,165,4.54,7,0,0
2019-06-27T18:19:00.000Z,263,51,4.18,2,0,0
2019-06-30T01:54:00.000Z,3435,603,4.7,50,0,0
2019-07-28T03:30:00.000Z,8207,1545,4.31,72,0,0
2019-08-04T07:20:00.000Z,5989,1107,4.41,72,0,0
2019-09-04T20:28:00.000Z,4903,966,4.08,31,0,0
2019-09-05T01:46:00.000Z,3721,705,4.28,39,0,0
2019-09-06T02:21:00.000Z,3148,611,4.15,30,0,1
2019-09-06T17:25:00.000Z,2274,438,4.19,27,1,1
2019-09-09T01:52:00.000Z,2025,372,4.45,17,0,0
2019-09-09T03:51:00.000Z,830,154,4.4,7,0,0
2019-09-10T06:30:00.000Z,211,43,3.93,1,0,0
2019-09-11T01:19:00.000Z,73,12,5.17,1,0,0
2019-09-15T01:53:00.000Z,6029,1091,4.53,61,2,2
2019-09-15T08:07:00.000Z,442,80,4.54,7,0,0
2019-09-16T15:11:00.000Z,4153,802,4.18,32,0,0
2019-09-17T03:40:00.000Z,1101,215,4.13,9,0,1
2019-09-19T00:51:00.000Z,736,150,3.91,6,0,0
2019-09-19T02:17:00.000Z,104,19,4.53,1,0,0
2019-09-21T03:36:00.000Z,62,14,3.5,0,0,0
2019-09-23T04:12:00.000Z,1137,220,4.17,11,0,0
2019-09-25T03:09:00.000Z,1588,297,4.35,17,0,0
2019-09-29T18:12:00.000Z,1633,315,4.19,12,0,0
2019-09-29T19:05:00.000Z,2620,501,4.23,20,0,0
2019-09-30T02:03:00.000Z,3768,696,4.42,43,0,0
2019-10-01T04:18:00.000Z,2445,450,4.44,25,0,0
2019-10-06T02:22:00.000Z,4430,821,4.4,49,0,1
2019-10-22T15:39:00.000Z,5927,1126,4.26,49,0,0
2019-10-23T05:43:00.000Z,3021,563,4.37,35,0,0
2019-10-24T00:53:00.000Z,831,142,4.86,19,0,0
2019-10-24T03:05:00.000Z,2205,408,4.41,24,0,0
2019-10-28T00:51:00.000Z,2156,411,4.25,16,0,0
2019-11-06T21:06:00.000Z,322,63,4.13,3,0,0
2019-11-08T17:26:00.000Z,240,45,4.36,2,0,0
2019-11-11T02:40:00.000Z,477,97,3.93,3,0,1
2019-11-11T17:21:00.000Z,2725,526,4.18,23,0,0
2019-11-13T04:10:00.000Z,2272,403,4.64,24,0,0
2019-11-17T00:17:00.000Z,4220,812,4.2,37,0,0
2019-11-17T08:04:00.000Z,10401,1885,4.52,126,1,0
2019-11-20T06:44:00.000Z,934,183,4.11,9,0,0
2019-11-25T13:50:00.000Z,222,43,4.19,3,0,2
2019-11-25T21:52:00.000Z,324,61,4.33,2,0,0
2019-11-25T21:53:00.000Z,7881,1485,4.31,81,0,0
2019-12-02T15:20:00.000Z,817,154,4.31,4,0,0
2019-12-02T19:47:00.000Z,531,103,4.17,4,0,0
2019-12-04T04:28:00.000Z,1842,345,4.34,23,0,0
2019-12-04T23:08:00.000Z,1093,212,4.16,9,0,0
2019-12-11T05:59:00.000Z,367,74,3.97,1,0,1
2019-12-11T21:06:00.000Z,6686,1307,4.12,39,0,0
2019-12-12T04:20:00.000Z,179,29,5.21,1,0,1
2019-12-13T18:15:00.000Z,2112,383,4.52,26,0,2
2019-12-16T20:17:00.000Z,1488,274,4.43,10,0,1
2019-12-17T02:05:00.000Z,126,25,4.08,0,0,0
2019-01-03T22:06:00.000Z,1768,328,4.39,14,0,5
2019-01-05T21:00:00.000Z,4121,779,4.29,39,0,1
2019-01-07T19:55:00.000Z,3015,576,4.24,28,0,1
2019-01-07T21:04:00.000Z,1489,279,4.34,13,0,5
2019-01-09T19:04:00.000Z,310,62,4.02,2,0,2
2019-01-15T00:49:00.000Z,545,101,4.41,5,0,1
2019-01-15T03:44:00.000Z,472,85,4.56,6,0,0
2019-01-17T20:04:00.000Z,9290,1761,4.28,71,3,4
2020-01-31T20:04:00.000Z,10067,1945,4.18,74,0,7
2020-02-01T20:21:00.000Z,2006,369,4.44,24,0,0
2020-02-05T18:02:00.000Z,3412,637,4.36,36,0,3
2020-02-05T22:52:00.000Z,299,58,4.17,4,0,0
2020-02-10T19:58:00.000Z,916,170,4.39,5,0,1
2020-02-11T06:46:00.000Z,583,106,4.51,8,0,1
2020-02-11T20:34:00.000Z,1260,238,4.3,13,0,1
2020-02-17T02:10:00.000Z,873,167,4.23,6,0,2
2020-02-19T20:44:00.000Z,1143,226,4.06,6,0,1
2020-02-28T05:42:00.000Z,3436,637,4.4,37,0,1
2020-03-06T17:39:00.000Z,7327,1320,4.55,69,0,0
2020-03-09T17:36:00.000Z,4698,894,4.26,42,0,1
2020-03-11T05:12:00.000Z,1244,228,4.46,10,0,0
2020-03-11T16:27:00.000Z,1648,323,4.11,12,0,2
2020-03-11T21:56:00.000Z,3465,667,4.2,21,0,3
2020-03-13T02:28:00.000Z,2727,508,4.37,31,0,1
2020-03-13T18:18:00.000Z,3575,652,4.48,31,0,0
2020-03-13T20:50:00.000Z,158,30,4.3,1,0,0
2020-03-14T17:27:00.000Z,350,67,4.24,4,0,0
2020-03-18T05:07:00.000Z,347,66,4.27,5,0,0
2020-03-18T23:06:00.000Z,1522,294,4.18,7,0,0
2020-03-19T01:26:00.000Z,92,20,3.65,0,0,0
2020-03-22T18:01:00.000Z,1255,218,4.76,12,0,0
2020-03-26T03:20:00.000Z,286,55,4.22,0,0,0
2020-03-30T02:21:00.000Z,2298,441,4.21,22,0,0
2020-03-30T02:53:00.000Z,324,60,4.42,2,0,0
2020-03-31T16:44:00.000Z,222,43,4.19,1,0,0
2020-04-03T18:34:00.000Z,1921,356,4.4,22,1,0
2020-04-05T12:32:00.000Z,3638,677,4.38,33,0,9
2020-04-05T13:46:00.000Z,2723,512,4.32,29,0,0
2020-04-06T23:23:00.000Z,3428,627,4.47,30,0,0
2020-04-12T14:28:00.000Z,2035,380,4.36,11,3,0
2020-04-12T15:37:00.000Z,195,36,4.44,2,1,1
2020-04-13T17:16:00.000Z,1879,363,4.18,15,2,2
2020-04-15T20:11:00.000Z,1421,267,4.33,8,0,4
2020-04-18T21:41:00.000Z,12881,2348,4.49,121,1,4
2019-04-23T16:46:00.000Z,223,41,4.46,1,0,0
2019-04-25T02:55:00.000Z,703,138,4.1,4,0,0
2020-04-30T01:27:00.000Z,9427,1772,4.32,86,5,3
2020-04-30T12:24:00.000Z,1530,291,4.26,11,0,2
2020-04-30T16:21:00.000Z,4899,908,4.4,35,1,3
2020-04-30T20:40:00.000Z,1069,197,4.43,6,1,0
2020-05-01T14:12:00.000Z,12580,2336,4.39,102,0,7
2020-05-01T16:12:00.000Z,5168,944,4.48,39,0,8
2019-05-03T16:50:00.000Z,4911,954,4.15,51,0,2
2020-05-07T00:39:00.000Z,501,95,4.28,1,0,1
2020-05-07T17:29:00.000Z,3640,679,4.36,36,0,0
2020-05-07T22:53:00.000Z,1191,227,4.25,11,0,1
2020-05-08T00:24:00.000Z,1997,368,4.43,25,0,0
2020-05-08T00:53:00.000Z,1887,330,4.72,19,1,1
2020-05-12T14:59:00.000Z,3493,684,4.11,28,0,1
2020-05-12T21:16:00.000Z,538,100,4.39,5,0,0
2020-05-16T00:53:00.000Z,3913,750,4.22,39,0,0
2020-05-16T01:46:00.000Z,233,45,4.2,1,1,1
2020-05-19T02:46:00.000Z,281,50,4.64,2,0,1
2020-05-20T03:02:00.000Z,3294,611,4.39,27,0,0
2020-05-20T19:19:00.000Z,1423,265,4.37,13,0,0
2020-05-20T19:44:00.000Z,595,122,3.89,4,0,0
2020-05-22T01:58:00.000Z,180,31,4.84,2,0,0
2020-05-27T03:26:00.000Z,3056,571,4.35,22,0,0
2020-05-27T04:37:00.000Z,476,88,4.42,6,0,0
2020-05-28T01:07:00.000Z,6692,1241,4.39,67,0,1
2020-05-28T19:09:00.000Z,187,32,4.88,1,1,0
2020-05-28T20:20:00.000Z,1590,299,4.32,12,0,1
2020-05-29T00:46:00.000Z,1654,315,4.25,13,3,3
2020-05-29T03:21:00.000Z,7084,1300,4.45,76,0,1
2020-05-29T16:53:00.000Z,961,175,4.5,9,1,0
2020-05-29T23:15:00.000Z,3441,638,4.39,36,1,0
2020-06-02T04:06:00.000Z,1006,191,4.27,11,0,1
2020-06-02T14:20:00.000Z,1094,196,4.59,12,0,0
