dateTime,numCharacters,numWords,avgCharsPerWord,numTenCharOrMoreWords,numComputerKeywords,numExclaimationPoints
2020-06-04T02:25:00.000Z,5185,951,4.45,53,1,0
2020-06-07T05:28:00.000Z,3019,550,4.49,37,1,0
2020-06-08T18:44:00.000Z,125,24,4.25,1,0,0
2020-06-10T16:06:00.000Z,217,45,3.84,2,0,0
2020-06-12T03:35:00.000Z,134,26,4.19,1,0,0
2020-07-05T05:33:00.000Z,1149,206,4.58,11,0,0
2020-07-05T13:25:00.000Z,1707,307,4.56,21,0,0
2020-07-05T22:24:00.000Z,3343,599,4.58,33,1,0
2020-07-06T22:44:00.000Z,12191,2228,4.47,142,3,1
2020-07-08T01:44:00.000Z,977,184,4.32,9,1,0
2020-07-08T02:32:00.000Z,414,77,4.39,4,0,1
2020-07-15T16:25:00.000Z,2958,569,4.2,29,0,0
2020-07-16T18:20:00.000Z,129,25,4.2,0,0,0
2020-07-18T13:23:00.000Z,7585,1424,4.33,74,1,0
2020-07-21T13:37:00.000Z,1899,321,4.92,29,4,1
2020-07-21T15:32:00.000Z,967,172,4.63,9,2,0
2020-07-24T12:39:00.000Z,6530,1189,4.49,73,3,0
2020-07-25T15:54:00.000Z,4533,818,4.54,47,0,0
2020-07-26T20:38:00.000Z,18773,3502,4.36,177,3,10
2020-08-19T17:19:00.000Z,9784,1861,4.26,76,1,1
2020-08-19T20:03:00.000Z,636,118,4.4,7,0,0
2020-08-19T20:29:00.000Z,708,137,4.18,4,0,0
2020-08-20T02:01:00.000Z,510,97,4.27,3,0,0
2020-08-19T15:01:00.000Z,2426,465,4.22,10,0,1
2020-08-24T14:38:00.000Z,9734,1834,4.31,83,0,5
2020-08-25T13:19:00.000Z,7793,1532,4.09,37,0,0
2020-08-25T14:19:00.000Z,285,52,4.5,5,0,0
2020-08-26T13:49:00.000Z,1027,182,4.65,13,0,0
2020-08-26T15:37:00.000Z,122,23,4.35,0,0,0
2020-08-28T14:51:00.000Z,365,65,4.63,4,0,1
2020-08-29T22:05:00.000Z,1441,283,4.1,9,0,0
2020-08-30T00:11:00.000Z,0,1,0,0,0,0
2020-08-30T01:12:00.000Z,564,109,4.18,2,0,0
2020-08-31T17:42:00.000Z,10985,2005,4.48,99,2,0
2020-09-01T03:07:00.000Z,9991,1837,4.44,81,0,1
2020-09-04T02:09:00.000Z,3125,558,4.6,30,0,0
2020-09-06T05:06:00.000Z,111,22,4.09,1,0,0
2020-09-05T03:46:00.000Z,1089,190,4.74,10,1,0
2020-09-06T17:23:00.000Z,3952,755,4.24,30,1,4
2020-09-07T02:02:00.000Z,385,67,4.76,5,0,0
2020-09-09T21:00:00.000Z,3846,688,4.59,45,1,0
2020-09-10T15:41:00.000Z,3331,630,4.29,25,0,12
2020-09-10T16:20:00.000Z,290,60,3.85,0,0,0
2020-09-10T18:25:00.000Z,5601,1045,4.36,41,4,2
2020-09-10T20:41:00.000Z,309,57,4.44,3,0,0
2020-09-11T01:35:00.000Z,357,66,4.42,2,0,0
2020-09-11T22:32:00.000Z,2900,539,4.38,24,0,0
2020-09-12T03:25:00.000Z,3942,713,4.53,40,0,1
2020-09-14T17:01:00.000Z,3352,586,4.72,48,0,0
2020-09-15T02:39:00.000Z,2684,514,4.22,26,0,0
2020-09-15T03:31:00.000Z,147,33,3.48,1,0,0
2020-09-15T22:48:00.000Z,1493,271,4.51,9,1,0
2020-09-17T20:53:00.000Z,2228,423,4.27,17,2,0
2020-09-18T16:55:00.000Z,2845,530,4.37,27,3,2
2020-09-20T23:28:00.000Z,5422,990,4.48,47,8,1
2020-09-21T00:14:00.000Z,1393,251,4.55,13,0,11
2020-09-26T17:14:00.000Z,4654,863,4.39,39,0,0
2020-09-28T14:18:00.000Z,6092,1149,4.3,52,1,2
2020-09-30T17:17:00.000Z,7192,1307,4.5,68,1,4
2020-09-30T18:06:00.000Z,1666,301,4.54,19,0,0
2020-10-01T02:02:00.000Z,2853,529,4.4,28,0,0
2020-10-02T05:20:00.000Z,1562,284,4.5,14,0,0
2020-10-02T20:21:00.000Z,1540,289,4.33,12,0,0
2020-10-03T19:26:00.000Z,930,184,4.06,4,1,1
2020-10-06T03:49:00.000Z,785,146,4.38,11,0,0
2020-10-05T16:29:00.000Z,1383,258,4.36,16,0,0
2020-10-08T02:21:00.000Z,567,110,4.16,2,0,0
2020-10-08T13:05:00.000Z,5833,1112,4.25,56,0,2
2020-10-09T18:57:00.000Z,5249,1006,4.22,45,0,1
2020-10-13T01:42:00.000Z,848,160,4.31,5,0,0
2020-10-13T12:58:00.000Z,1175,235,4,6,0,0
2020-10-14T04:00:00.000Z,1855,356,4.21,19,0,0
2020-10-14T20:24:00.000Z,4103,793,4.18,31,0,0
2020-10-14T21:57:00.000Z,800,158,4.07,5,0,0
2020-10-15T02:18:00.000Z,7184,1345,4.34,80,1,1
2020-10-16T14:01:00.000Z,576,110,4.25,6,0,1
2020-10-19T01:41:00.000Z,4084,760,4.38,43,0,2
2020-10-19T15:00:00.000Z,337,66,4.12,5,0,0
2020-10-20T03:07:00.000Z,2508,480,4.23,26,0,3
2020-10-20T17:49:00.000Z,447,85,4.27,6,0,1
2020-10-21T02:06:00.000Z,1602,318,4.04,10,0,0
2020-10-21T23:35:00.000Z,3204,596,4.38,31,0,0
2020-10-25T16:52:00.000Z,338,72,3.71,1,0,0
2020-10-28T05:07:00.000Z,1808,344,4.26,18,0,0
2020-10-28T05:32:00.000Z,504,94,4.37,5,0,0
2020-10-29T00:35:00.000Z,1092,209,4.23,5,0,0
2020-10-31T18:59:00.000Z,5297,990,4.35,44,0,0
2020-10-01T17:06:00.000Z,1098,205,4.36,13,0,0
2020-11-04T15:30:00.000Z,1493,283,4.28,11,0,0
2020-11-05T00:54:00.000Z,1714,305,4.62,23,1,1
2020-11-11T23:04:00.000Z,2255,444,4.08,15,0,0
2020-11-13T04:32:00.000Z,6460,1223,4.28,49,1,0
2020-11-21T19:24:00.000Z,4194,815,4.15,23,0,0
2020-11-23T05:05:00.000Z,935,184,4.09,5,0,0
2020-11-30T16:07:00.000Z,1632,324,4.04,10,0,0
2020-11-30T20:20:00.000Z,8272,1592,4.2,67,0,0
2020-12-01T21:38:00.000Z,1144,236,3.85,4,0,0
2020-12-02T14:02:00.000Z,870,171,4.09,5,2,0
2020-12-03T01:35:00.000Z,1919,382,4.03,11,0,0
2020-12-05T16:43:00.000Z,6017,1141,4.27,32,1,0
2020-12-05T20:05:00.000Z,1318,268,3.92,4,0,0
2021-01-03T01:15:00.000Z,11667,2223,4.25,88,0,3
2021-01-11T18:23:00.000Z,2559,492,4.2,14,0,1
2021-01-25T03:36:00.000Z,333,68,3.91,0,0,0
2021-01-28T17:44:00.000Z,3131,604,4.19,15,0,0
2021-02-06T04:48:00.000Z,6397,1188,4.39,52,2,3
2021-02-08T16:46:00.000Z,792,155,4.12,3,2,0
2021-02-09T11:42:00.000Z,996,194,4.14,3,1,1
2021-02-10T00:13:00.000Z,11020,2118,4.2,74,6,2
2021-02-11T03:53:00.000Z,1107,214,4.18,5,0,2
2021-02-11T04:24:00.000Z,307,63,3.89,0,0,0
2021-02-10T17:06:00.000Z,1658,291,4.7,15,0,0
2021-02-10T20:06:00.000Z,4671,896,4.21,36,0,0
2021-02-12T03:19:00.000Z,11169,2153,4.19,77,2,2
2021-02-15T20:39:00.000Z,623,129,3.84,2,2,1
2021-02-18T03:40:00.000Z,6221,1192,4.22,52,1,1
2021-02-18T15:17:00.000Z,1116,225,3.96,3,0,0
2021-02-24T23:36:00.000Z,3167,617,4.13,21,2,0
2021-02-25T15:30:00.000Z,1803,342,4.27,7,0,0
2021-02-26T15:26:00.000Z,535,106,4.06,3,0,3
2021-02-26T23:00:00.000Z,260,49,4.33,1,0,0
2021-02-27T15:41:00.000Z,6925,1313,4.27,51,0,0
2021-02-28T15:07:00.000Z,4585,891,4.15,24,0,4
2021-03-01T20:20:00.000Z,265,56,3.75,1,0,1
2021-03-01T21:20:00.000Z,338,61,4.56,3,1,0
2021-03-01T21:40:00.000Z,1081,183,4.91,17,1,0
2021-03-01T22:02:00.000Z,3759,717,4.24,22,0,0
2021-03-02T15:45:00.000Z,2766,525,4.27,15,0,0
2021-03-02T21:01:00.000Z,2966,545,4.44,24,0,0
2020-03-03T22:59:00.000Z,3809,742,4.13,24,0,1
2021-03-08T16:00:00.000Z,5282,1027,4.14,35,1,4
2021-03-13T17:29:00.000Z,5130,1001,4.13,29,0,0
2021-03-17T21:45:00.000Z,537,98,4.49,1,0,2
2021-03-21T18:36:00.000Z,261,48,4.46,4,0,0
2021-03-21T23:46:00.000Z,5637,1044,4.4,36,0,0
2021-11-22T17:58:00.000Z,292,58,4.05,0,0,0
2021-03-22T22:31:00.000Z,2575,483,4.33,25,0,1
2021-03-23T16:30:00.000Z,2027,417,3.86,8,0,0
2021-03-23T18:17:00.000Z,93,20,3.7,0,0,0
2021-03-24T16:15:00.000Z,1616,306,4.28,8,0,0
2021-03-24T19:01:00.000Z,53,12,3.5,0,0,0
2021-03-25T02:54:00.000Z,8184,1560,4.25,61,3,2
2021-03-26T01:33:00.000Z,1968,373,4.28,16,0,0
2021-03-26T01:58:00.000Z,334,69,3.86,2,0,0
2021-03-26T02:36:00.000Z,1051,191,4.51,12,1,0
2021-03-26T13:56:00.000Z,116,22,4.32,0,0,0
2021-03-29T18:49:00.000Z,437,87,4.03,3,0,1
2021-03-31T14:25:00.000Z,374,65,4.77,6,0,1
2021-03-31T19:26:00.000Z,1563,301,4.2,9,0,2
2021-04-05T03:38:00.000Z,355,64,4.56,3,0,0
2021-04-05T21:39:00.000Z,1168,226,4.17,8,1,0
2021-04-07T00:27:00.000Z,1141,216,4.29,9,2,0
2021-04-07T14:56:00.000Z,1379,273,4.05,4,0,1
2021-04-07T17:48:00.000Z,400,71,4.65,5,1,0
2021-04-08T00:24:00.000Z,3222,612,4.27,20,2,0
2021-04-08T15:43:00.000Z,0,1,0,0,0,0
2021-04-09T01:07:00.000Z,212,38,4.61,1,0,0
2021-04-10T02:20:00.000Z,729,144,4.07,2,0,0
2021-04-11T00:54:00.000Z,642,126,4.1,6,1,0
2021-04-11T13:58:00.000Z,1573,297,4.3,13,0,0
2021-04-12T14:34:00.000Z,324,66,3.92,2,0,0
2021-04-12T23:53:00.000Z,2652,488,4.44,30,0,0
2021-04-13T13:01:00.000Z,2240,428,4.24,18,0,0
2021-04-12T19:42:00.000Z,1056,200,4.29,5,0,0
2021-04-12T21:33:00.000Z,669,133,4.04,3,0,0
2021-04-14T00:11:00.000Z,192,39,3.95,0,0,0
2021-04-14T20:41:00.000Z,171,32,4.38,2,1,0
2021-04-15T20:28:00.000Z,2106,408,4.16,11,0,1
2021-04-19T02:13:00.000Z,3712,702,4.29,25,0,1
2021-04-21T20:24:00.000Z,3478,646,4.39,27,2,2
2021-04-26T15:50:00.000Z,10095,1901,4.31,74,2,4
2021-05-02T00:45:00.000Z,730,144,4.08,4,1,0
2021-05-07T13:48:00.000Z,1575,302,4.22,6,0,1
2021-05-07T20:36:00.000Z,662,135,3.91,2,0,0
2021-05-08T16:07:00.000Z,2293,437,4.25,19,0,1
2022-05-10T15:59:00.000Z,251,50,4.04,0,0,1
2021-05-10T16:21:00.000Z,88,18,3.94,0,0,0
2021-05-10T21:34:00.000Z,7039,1289,4.46,80,0,0
2021-05-12T19:34:00.000Z,1011,194,4.22,8,3,2
2021-05-14T17:57:00.000Z,305,56,4.46,1,0,1
2021-05-19T04:39:00.000Z,4338,864,4.02,15,1,0
2021-05-20T21:33:00.000Z,1602,311,4.15,6,3,3
2021-05-25T01:59:00.000Z,110,21,4.29,1,0,0
2021-05-25T20:41:00.000Z,297,59,4.05,1,0,0
2021-06-03T03:33:00.000Z,1918,374,4.13,15,0,0
2021-06-22T21:23:00.000Z,1728,332,4.21,8,0,0
2021-06-27T15:05:00.000Z,12503,2408,4.19,82,0,3
2021-06-29T01:40:00.000Z,3087,578,4.34,23,1,0
2021-07-03T02:13:00.000Z,6179,1193,4.18,38,1,3
2021-07-03T03:30:00.000Z,3866,768,4.04,11,1,2
2021-07-11T16:50:00.000Z,7188,1398,4.14,24,2,1
2021-07-13T01:44:00.000Z,8472,1642,4.16,35,0,2
2021-07-13T03:10:00.000Z,703,138,4.1,5,0,0
2021-07-16T00:16:00.000Z,441,84,4.26,4,0,0
2021-07-16T22:37:00.000Z,1670,327,4.11,11,1,0
2021-07-18T20:47:00.000Z,215,44,3.91,1,0,0
2021-07-18T20:54:00.000Z,3118,587,4.31,22,1,4
2021-08-08T16:25:00.000Z,85,17,4.06,0,0,0
2021-09-04T06:09:00.000Z,7212,1371,4.26,42,0,0
2021-09-09T00:05:00.000Z,5303,1045,4.08,16,0,0
2021-09-13T13:51:00.000Z,1484,286,4.19,7,0,0
2021-09-16T00:41:00.000Z,10641,1986,4.36,90,0,2
2021-09-16T22:46:00.000Z,234,50,3.7,1,0,0
2021-09-18T17:03:00.000Z,5648,1102,4.13,17,0,0
2021-09-20T17:18:00.000Z,2360,453,4.21,12,0,0
2021-09-22T01:54:00.000Z,1763,323,4.46,7,0,1
2021-09-22T22:00:00.000Z,3527,691,4.11,19,0,1
2021-09-27T04:00:00.000Z,692,136,4.1,6,0,0
2021-09-30T04:24:00.000Z,3356,633,4.3,25,1,0
2021-10-10T13:46:00.000Z,1682,321,4.24,8,1,1
2021-10-11T21:55:00.000Z,699,141,3.96,4,0,0
2021-10-13T00:25:00.000Z,2381,469,4.08,15,0,0
2021-10-14T00:11:00.000Z,1126,237,3.76,3,0,0
2021-10-18T19:11:00.000Z,1645,311,4.29,9,0,0
2021-10-20T00:03:00.000Z,3755,741,4.07,17,0,0
2021-10-24T22:22:00.000Z,1409,255,4.53,12,0,0
2021-10-26T17:23:00.000Z,523,97,4.4,4,0,0
2021-11-03T00:08:00.000Z,1480,303,3.89,7,0,0
2021-11-04T22:59:00.000Z,1570,295,4.33,9,0,0
2021-11-05T01:04:00.000Z,705,133,4.31,5,0,0
2021-11-07T18:17:00.000Z,3065,597,4.14,18,1,0
2021-11-13T04:28:00.000Z,1535,301,4.1,5,0,0
2021-11-13T16:43:00.000Z,536,105,4.11,2,0,0
2021-11-25T15:35:00.000Z,549,107,4.14,2,1,0
2021-11-28T16:23:00.000Z,1118,221,4.06,4,2,0
2021-11-30T05:24:00.000Z,1196,239,4.01,5,0,0
2021-12-06T15:17:00.000Z,611,117,4.23,3,0,2
2021-12-22T03:45:00.000Z,904,176,4.14,3,0,0
2021-12-24T00:30:00.000Z,273,56,3.89,0,1,0
2022-01-19T03:55:00.000Z,253,44,4.77,1,0,0
2022-01-25T22:45:00.000Z,316,58,4.47,4,0,0
2022-01-27T03:11:00.000Z,3321,628,4.29,27,4,1
2022-02-13T21:04:00.000Z,1420,253,4.62,11,0,1
2022-02-18T00:58:00.000Z,1320,228,4.79,14,5,0
2022-03-16T00:05:00.000Z,895,161,4.57,4,0,0
2022-03-21T02:25:00.000Z,1361,263,4.18,3,0,0
2022-04-03T21:03:00.000Z,5826,1064,4.48,61,2,0
2022-04-10T19:06:00.000Z,910,161,4.66,6,0,0
